Hazard Unique Identifier,Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage,Hazard Event (Grouped)
186,2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1772,Hail/Storms
187,4,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1768,Hail/Storms
188,4,Hail/ Lightning/ Wind,3,1965,1,0,0,1731,Hail/Storms
189,4,Lightning,3,1965,1,0,0,1674,Lightning
190,1,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1659,Hail/Storms
191,5,Hail/ Lightning/ Wind,3,1965,1,0,0,1652,Hail/Storms
192,5,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1650,Hail/Storms
193,5,Lightning,3,1965,1,0,0,1637,Lightning
194,2,Lightning,3,1965,1,0,0,1571,Lightning
195,6,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1567,Hail/Storms
196,1,Hail/ Lightning/ Wind,3,1965,1,0,0,1547,Hail/Storms
197,6,Hail,4,1965,1,0,0,842,Hail
198,1,Lightning,3,1965,1,0,12,838,Lightning
199,1,Hail,4,1965,1,0,0,725,Hail
200,3,Landslide,1,1965,1,83,0,0,Landslide
201,6,Severe Storm/Thunder Storm,2,1965,1,13,13,0,Storms
202,2,Lightning,3,1965,1,11,0,0,Lightning
203,4,Lightning,3,1965,1,25,0,0,Lightning
204,6,Hail,2,1965,1,0,0,0,Hail
205,4,Lightning,2,1965,1,0,24,0,Lightning
206,3,Lightning,2,1965,1,0,34,0,Lightning
207,6,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
208,1,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
209,2,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
210,4,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
211,3,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
212,5,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
213,3,Lightning,3,1965,1,0,97,0,Lightning
214,4,Winter Weather,1,1966,2,2,0,245677,Winter Weather
215,5,Winter Weather,1,1966,2,2,0,220813,Winter Weather
216,1,Winter Weather,1,1966,2,2,0,220405,Winter Weather
217,3,Winter Weather,1,1966,2,3,0,209853,Winter Weather
218,4,Wildfire,1,1966,17,0,0,184408,Wildfire
219,1,Wildfire,1,1966,17,0,0,180497,Wildfire
220,6,Wildfire,1,1966,17,0,0,179963,Wildfire
221,5,Wildfire,1,1966,17,0,0,178774,Wildfire
222,3,Wildfire,1,1966,17,0,0,171537,Wildfire
223,2,Wildfire,1,1966,17,0,0,166248,Wildfire
224,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1966,1,0,12,84792,Hail/Storms
225,4,Severe Storm/Thunder Storm/ Wind,2,1966,1,0,0,81154,Storms
226,1,Hail/ Lightning/ Severe Storm/Thunder Storm,2,1966,1,6,0,42045,Hail/Storms
227,6,Winter Weather,1,1966,1,0,0,37804,Winter Weather
228,4,Winter Weather,1,1966,1,0,0,36505,Winter Weather
229,3,Lightning/ Wind,3,1966,1,0,0,36458,Wind
230,3,Winter Weather,1,1966,1,0,0,35168,Winter Weather
231,5,Winter Weather,1,1966,1,0,0,33142,Winter Weather
232,4,Flooding,1,1966,5,0,0,18587,Flooding
233,2,Flooding,1,1966,5,0,0,17795,Flooding
234,5,Flooding,1,1966,5,0,0,16992,Flooding
235,6,Flooding,1,1966,5,0,0,16314,Flooding
236,1,Flooding,1,1966,5,0,0,16107,Flooding
237,3,Flooding,1,1966,5,0,0,15859,Flooding
238,1,Lightning/ Severe Storm/Thunder Storm,3,1966,1,0,0,7958,Lightning/Storms
239,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1966,1,0,0,7295,Hail/Storms
240,4,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1877,Storms
241,6,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1864,Storms
242,3,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1780,Storms
243,1,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1748,Storms
244,2,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1602,Storms
245,5,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1570,Storms
246,1,Hail/ Lightning/ Severe Storm/Thunder Storm,3,1966,1,0,0,801,Hail/Storms
247,6,Winter Weather,1,1966,2,1,0,0,Winter Weather
248,1,Winter Weather,1,1966,2,2,0,0,Winter Weather
249,2,Winter Weather,1,1966,2,3,0,0,Winter Weather
250,4,Winter Weather,1,1966,2,1,0,0,Winter Weather
251,3,Winter Weather,1,1966,2,2,0,0,Winter Weather
252,5,Winter Weather,1,1966,2,1,0,0,Winter Weather
253,2,Hail/ Severe Storm/Thunder Storm,3,1966,1,0,0,0,Hail/Storms
254,3,Tornado,4,1967,1,0,0,744330,Storms
255,3,Severe Storm/Thunder Storm,3,1967,6,0,0,178688,Storms
256,4,Severe Storm/Thunder Storm,3,1967,6,0,0,173450,Storms
257,1,Severe Storm/Thunder Storm,3,1967,6,0,0,173123,Storms
258,5,Severe Storm/Thunder Storm,3,1967,6,0,0,173088,Storms
259,6,Severe Storm/Thunder Storm,3,1967,6,0,0,171503,Storms
260,2,Severe Storm/Thunder Storm,3,1967,6,0,0,160269,Storms
261,1,Tornado,2,1967,1,0,0,86314,Storms
262,2,Tornado/ Wind,4,1967,1,0,12,84831,Storms
263,2,Tornado,4,1967,1,0,12,83761,Storms
264,1,Tornado,3,1967,1,0,0,83555,Storms
265,2,Hurricane/Tropical Storm,2,1967,1,0,0,81059,Storms
266,3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1967,1,0,0,80559,Hail/Storms
267,3,Hail/ Wind,1,1967,1,0,0,77278,Hail/Storms
268,5,Tornado/ Wind,2,1967,1,0,0,73902,Storms
269,4,Lightning/ Severe Storm/Thunder Storm/ Wind,4,1967,1,0,0,19407,Lightning/Storms
270,3,Hail/ Tornado/ Wind,2,1967,1,0,38,8380,Hail/Storms
271,5,Wind,2,1967,1,11,0,7534,Wind
272,1,Winter Weather,1,1967,3,0,0,0,Winter Weather
273,3,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,739099,Storms
274,6,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,268708,Storms
275,3,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,254862,Storms
276,1,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,248621,Storms
277,5,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,241537,Storms
278,2,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,240051,Storms
279,2,Tornado,4,1968,1,0,0,78205,Storms
280,1,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,76192,Storms
281,1,Wind,3,1968,1,0,0,38859,Wind
282,1,Wind,1,1968,1,0,0,26649,Wind
283,1,Hurricane/Tropical Storm,2,1968,2,0,0,1873,Storms
284,6,Hurricane/Tropical Storm,2,1968,2,0,0,1705,Storms
285,2,Hurricane/Tropical Storm,2,1968,2,0,0,1652,Storms
286,4,Hurricane/Tropical Storm,2,1968,2,0,0,1620,Storms
287,3,Hurricane/Tropical Storm,2,1968,2,0,0,1580,Storms
288,5,Hurricane/Tropical Storm,2,1968,2,0,0,1559,Storms
289,2,Tornado,1,1968,1,0,0,854,Storms
290,1,Severe Storm/Thunder Storm,2,1968,1,0,12,823,Storms
291,2,Tornado,3,1968,1,0,0,748,Storms
292,6,Hail,2,1968,1,0,0,0,Hail
293,1,Hail,2,1968,1,0,0,0,Hail
294,1,Severe Storm/Thunder Storm,3,1969,1,0,0,776272,Storms
295,2,Winter Weather,1,1969,3,0,0,179732,Winter Weather
296,6,Winter Weather,1,1969,3,0,0,160592,Winter Weather
297,3,Winter Weather,1,1969,3,0,0,160474,Winter Weather
298,5,Winter Weather,1,1969,3,0,0,158871,Winter Weather
299,4,Winter Weather,1,1969,3,11,0,155482,Winter Weather
300,1,Winter Weather,1,1969,3,0,0,154200,Winter Weather
301,1,Severe Storm/Thunder Storm/ Wind,2,1969,1,0,0,43376,Storms
302,1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1969,1,0,0,36394,Hail/Storms
303,5,Wind/ Winter Weather,4,1969,1,2,2,33736,Winter Weather
304,3,Wind/ Winter Weather,4,1969,1,1,1,30790,Winter Weather
305,4,Wind/ Winter Weather,4,1969,1,2,2,29617,Winter Weather
306,6,Wind,2,1969,1,0,0,763,Wind
307,3,Wind,2,1969,1,0,0,423,Wind
308,1,Winter Weather,4,1969,1,0,0,164,Winter Weather
309,1,Lightning/ Severe Storm/Thunder Storm,2,1969,1,13,0,0,Lightning/Storms
310,2,Coastal/ Hurricane/Tropical Storm/ Wind,4,1970,1,0,0,1127301,Coastal
311,1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,788082,Storms
312,2,Wind,2,1970,1,0,22,754634,Wind
313,5,Wind,2,1970,1,0,2,163687,Wind
314,1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,84150,Storms
315,4,Lightning,3,1970,1,0,0,81764,Lightning
316,4,Hail/ Severe Storm/Thunder Storm,2,1970,1,0,0,38875,Hail/Storms
317,3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1970,1,0,4,28292,Hail/Storms
318,2,Winter Weather,1,1970,2,0,0,1835,Winter Weather
319,5,Winter Weather,1,1970,2,0,0,1805,Winter Weather
320,1,Winter Weather,1,1970,2,23,0,1690,Winter Weather
321,4,Winter Weather,1,1970,2,11,0,1685,Winter Weather
322,3,Winter Weather,1,1970,2,0,0,1655,Winter Weather
323,6,Winter Weather,1,1970,2,0,0,1605,Winter Weather
324,6,Winter Weather,4,1970,2,0,0,13,Winter Weather
325,3,Winter Weather,4,1970,2,0,0,12,Winter Weather
326,1,Winter Weather,4,1970,2,0,0,11,Winter Weather
327,2,Winter Weather,4,1970,2,0,0,11,Winter Weather
328,4,Winter Weather,4,1970,2,0,0,11,Winter Weather
329,5,Winter Weather,4,1970,2,0,0,11,Winter Weather
330,2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1970,2,0,0,0,Hail/Storms
331,2,Lightning,3,1970,1,0,34,0,Lightning
332,4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,1348604,Hail/Storms
333,2,Hurricane/Tropical Storm,3,1971,4,0,0,1058006,Storms
334,3,Severe Storm/Thunder Storm,3,1971,1,0,0,718412,Storms
335,1,Winter Weather,1,1971,1,4,8,459526,Winter Weather
336,4,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,183012,Storms
337,2,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,181479,Storms
338,5,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,176293,Storms
339,3,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,12,173622,Storms
340,1,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,170400,Storms
341,6,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,157375,Storms
342,4,Tornado,1,1971,1,0,0,79323,Storms
343,3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,63657,Hail/Storms
344,5,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,33,60750,Hail/Storms
345,1,Winter Weather,1,1971,2,0,0,5887,Winter Weather
346,6,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1853,Storms
347,4,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1804,Storms
348,2,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1788,Storms
349,1,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1782,Storms
350,5,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1684,Storms
351,3,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1654,Storms
352,5,Tornado,3,1971,1,0,0,811,Storms
353,5,Lightning/ Severe Storm/Thunder Storm,3,1971,1,11,0,0,Lightning/Storms
354,3,Tornado,2,1971,1,0,0,0,Storms
355,1,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,752811,Lightning/Storms
356,2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,85577,Hail/Storms
357,4,Lightning/ Severe Storm/Thunder Storm,3,1972,1,0,0,82145,Lightning/Storms
358,5,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,81724,Lightning/Storms
359,3,Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,79640,Storms
360,5,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,79608,Lightning/Storms
361,4,Tornado,1,1972,1,0,0,75891,Storms
362,2,Lightning/ Severe Storm/Thunder Storm,3,1972,1,10,10,72079,Lightning/Storms
363,1,Severe Storm/Thunder Storm/ Wind,2,1972,1,0,0,41141,Storms
364,1,Wind,1,1972,1,0,0,27175,Wind
365,3,Wind,1,1972,1,0,11,7649,Wind
366,1,Flooding/ Severe Storm/Thunder Storm,4,1972,4,0,0,3519,Flooding/Storms
367,2,Flooding/ Severe Storm/Thunder Storm,4,1972,4,0,0,3247,Flooding/Storms
368,6,Hurricane/Tropical Storm,2,1972,2,0,0,1777,Storms
369,1,Hurricane/Tropical Storm,2,1972,2,0,0,1694,Storms
370,5,Hurricane/Tropical Storm,2,1972,2,0,0,1626,Storms
371,4,Hurricane/Tropical Storm,2,1972,2,0,0,1598,Storms
372,2,Hurricane/Tropical Storm,2,1972,2,0,0,1574,Storms
373,3,Hurricane/Tropical Storm,2,1972,2,0,0,1552,Storms
374,6,Winter Weather,2,1972,30,0,0,0,Winter Weather
375,1,Winter Weather,2,1972,30,0,0,0,Winter Weather
376,2,Winter Weather,2,1972,30,0,0,0,Winter Weather
377,4,Winter Weather,2,1972,30,0,0,0,Winter Weather
378,3,Winter Weather,2,1972,30,0,0,0,Winter Weather
379,5,Winter Weather,2,1972,30,0,0,0,Winter Weather
380,1,Tornado,2,1973,1,0,165,2378056,Storms
381,6,Winter Weather,1,1973,2,3,0,1882757,Winter Weather
382,2,Winter Weather,1,1973,2,2,0,1778513,Winter Weather
383,4,Winter Weather,1,1973,2,2,0,1769898,Winter Weather
384,3,Winter Weather,1,1973,2,3,0,1700977,Winter Weather
385,1,Winter Weather,1,1973,2,2,0,1692878,Winter Weather
386,5,Winter Weather,1,1973,2,3,0,1655144,Winter Weather
387,2,Tornado,2,1973,1,0,0,783405,Storms
388,3,Winter Weather,1,1973,2,0,0,186475,Winter Weather
389,4,Winter Weather,1,1973,2,0,0,182513,Winter Weather
390,5,Winter Weather,1,1973,2,0,0,166696,Winter Weather
391,1,Winter Weather,1,1973,2,0,0,166558,Winter Weather
392,2,Winter Weather,1,1973,2,0,0,165335,Winter Weather
393,6,Winter Weather,1,1973,2,0,0,160114,Winter Weather
394,2,Flooding,1,1973,17,0,0,84134,Flooding
395,3,Lightning/ Wind,3,1973,1,0,0,80551,Wind
396,1,Tornado,2,1973,1,0,0,42060,Storms
397,1,Tornado,1,1973,1,0,0,39394,Storms
398,4,Tornado,2,1973,1,0,0,36469,Storms
399,3,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,29408,Flooding/Storms
400,4,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,27168,Flooding/Storms
401,5,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,26389,Flooding/Storms
402,4,Flooding,1,1973,1,0,0,16841,Flooding
403,5,Flooding,1,1973,1,0,0,16792,Flooding
404,2,Flooding,1,1973,1,0,0,16173,Flooding
405,1,Flooding,1,1973,1,0,0,16026,Flooding
406,6,Flooding,1,1973,1,0,0,15894,Flooding
407,3,Flooding,1,1973,1,0,0,15541,Flooding
408,2,Coastal,4,1973,1,0,0,14212,Coastal
