Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage,Hazard Event Grouped
4,Tornado,3,1962,1,0,0,7181,Storms
1,Winter Weather,1,1962,1,0,0,4019,Winter Weather
3,Hail/ Wind,2,1962,1,0,0,3184,Hail/Storms
5,Hail/ Wind,2,1962,1,0,0,3028,Hail/Storms
4,Hail/ Wind,2,1962,1,0,0,2926,Hail/Storms
4,Hail/ Wind,3,1962,1,0,0,2624,Hail/Storms
4,Wind,1,1963,1,0,0,216551,Wind
1,Winter Weather,4,1963,2,0,7,187182,Winter Weather
3,Winter Weather,4,1963,2,0,7,186717,Winter Weather
5,Winter Weather,4,1963,2,0,7,177895,Winter Weather
2,Winter Weather,4,1963,2,0,6,172382,Winter Weather
4,Winter Weather,4,1963,2,0,6,171210,Winter Weather
6,Winter Weather,4,1963,2,0,6,167213,Winter Weather
1,Severe Storm/Thunder Storm,1,1963,2,2,0,136891,Storms
1,Severe Storm/Thunder Storm,1,1963,2,0,0,130656,Storms
4,Hail,2,1963,1,0,0,73133,Hail
5,Tornado,3,1963,1,0,0,72285,Storms
4,Tornado,3,1963,1,0,0,71682,Storms
1,Severe Storm/Thunder Storm,3,1963,1,0,0,12962,Storms
4,Tornado,3,1963,1,0,12,8464,Storms
4,Hail,2,1963,1,0,0,7761,Hail
5,Severe Storm/Thunder Storm,3,1963,1,0,0,2449,Storms
6,Hail,2,1963,1,0,0,0,Hail
1,Hail,2,1963,1,0,0,0,Hail
1,Hail/ Wind,2,1963,1,0,0,0,Hail/Storms
2,Hail,2,1963,1,0,0,0,Hail
4,Hail,2,1963,1,0,0,0,Hail
3,Hail,2,1963,1,0,0,0,Hail
5,Hail,2,1963,1,0,0,0,Hail
2,Lightning,3,1963,1,11,0,0,Lightning
2,Lightning,3,1963,1,11,0,0,Lightning
1,Severe Storm/Thunder Storm,2,1964,3,0,0,1191538,Storms
3,Tornado,3,1964,1,0,0,827791,Storms
2,Severe Storm/Thunder Storm,2,1964,2,0,0,812494,Storms
5,Severe Storm/Thunder Storm,4,1964,3,2,0,187699,Storms
6,Severe Storm/Thunder Storm,4,1964,3,3,0,187458,Storms
4,Severe Storm/Thunder Storm,4,1964,3,1,0,185976,Storms
2,Severe Storm/Thunder Storm,4,1964,3,0,0,174863,Storms
1,Severe Storm/Thunder Storm,4,1964,3,2,0,162078,Storms
3,Severe Storm/Thunder Storm,4,1964,3,2,0,158822,Storms
1,Tornado,2,1964,1,0,0,83444,Storms
5,Lightning,3,1964,1,0,0,80219,Lightning
1,Lightning,2,1964,1,0,0,77484,Lightning
3,Tornado,3,1964,1,0,0,75970,Storms
2,Tornado,3,1964,1,0,0,75772,Storms
1,Lightning,3,1964,1,0,0,74480,Lightning
4,Severe Storm/Thunder Storm,3,1964,2,0,0,33986,Storms
3,Severe Storm/Thunder Storm,3,1964,2,0,0,33878,Storms
5,Severe Storm/Thunder Storm,3,1964,2,0,0,33000,Storms
6,Hurricane/Tropical Storm,3,1964,3,0,0,17798,Storms
4,Hurricane/Tropical Storm,3,1964,3,0,0,17397,Storms
5,Hurricane/Tropical Storm,3,1964,3,0,0,16937,Storms
3,Hurricane/Tropical Storm,3,1964,3,0,0,16882,Storms
1,Hurricane/Tropical Storm,3,1964,3,0,0,16362,Storms
2,Hurricane/Tropical Storm,3,1964,3,0,0,16081,Storms
5,Tornado,2,1964,1,0,0,8389,Storms
1,Hail,2,1964,1,0,0,7530,Hail
2,Severe Storm/Thunder Storm,3,1964,2,3,0,5062,Storms
4,Severe Storm/Thunder Storm,3,1964,2,3,0,4985,Storms
6,Winter Weather,1,1964,2,0,10,3930,Winter Weather
1,Winter Weather,1,1964,2,0,10,3656,Winter Weather
5,Hurricane/Tropical Storm,3,1964,2,0,0,1874,Storms
3,Flooding,1,1964,31,0,0,1861,Flooding
2,Wind,1,1964,1,0,1,1846,Wind
6,Flooding,1,1964,31,0,0,1840,Flooding
4,Wind,1,1964,1,0,2,1833,Wind
5,Wind,1,1964,1,0,0,1822,Wind
5,Flooding,1,1964,31,0,0,1794,Flooding
1,Hurricane/Tropical Storm,3,1964,2,0,0,1775,Storms
3,Wind,1,1964,1,0,0,1766,Wind
6,Hurricane/Tropical Storm,3,1964,2,0,0,1744,Storms
6,Wind,1,1964,1,0,0,1715,Wind
2,Flooding,1,1964,31,0,0,1701,Flooding
4,Hurricane/Tropical Storm,3,1964,2,0,0,1646,Storms
1,Wind,1,1964,1,0,3,1627,Wind
3,Hurricane/Tropical Storm,3,1964,2,0,0,1608,Storms
4,Flooding,1,1964,31,0,0,1596,Flooding
2,Hurricane/Tropical Storm,3,1964,2,0,0,1571,Storms
1,Flooding,1,1964,31,0,0,1552,Flooding
4,Tornado,2,1964,1,0,0,844,Storms
6,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
1,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
2,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
4,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
3,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
5,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
2,Lightning,3,1964,1,13,13,0,Lightning
6,Winter Weather,1,1964,2,0,0,0,Winter Weather
1,Winter Weather,1,1964,2,0,0,0,Winter Weather
2,Winter Weather,1,1964,2,0,0,0,Winter Weather
4,Winter Weather,1,1964,2,0,0,0,Winter Weather
3,Winter Weather,1,1964,2,0,0,0,Winter Weather
5,Winter Weather,1,1964,2,0,0,0,Winter Weather
3,Lightning,3,1964,1,0,347,0,Lightning
2,Tornado,4,1965,1,0,0,764462,Storms
2,Tornado,3,1965,1,0,511,734185,Storms
1,Hail/ Severe Storm/Thunder Storm,2,1965,1,0,0,86068,Hail/Storms
2,Tornado,2,1965,1,0,0,85957,Storms
1,Lightning,3,1965,1,0,0,83833,Lightning
3,Lightning,2,1965,1,0,0,80710,Lightning
2,Tornado,2,1965,1,0,0,74932,Storms
3,Lightning,2,1965,1,0,0,74623,Lightning
3,Severe Storm/Thunder Storm,3,1965,1,0,21,71413,Storms
3,Lightning/ Severe Storm/Thunder Storm,3,1965,1,0,0,42583,Lightning/Storms
3,Lightning/ Wind,3,1965,1,0,0,40582,Wind
3,Wind,1,1965,1,0,0,35724,Wind
5,Lightning,3,1965,1,0,2,18415,Lightning
3,Hail,2,1965,1,0,0,9643,Hail
1,Hail,2,1965,1,0,0,8372,Hail
3,Wind,1,1965,1,0,61,8099,Wind
4,Wind,4,1965,1,0,0,8058,Wind
4,Tornado,3,1965,1,0,0,7798,Storms
3,Severe Storm/Thunder Storm,3,1965,1,0,0,3724,Storms
3,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1871,Hail/Storms
1,Lightning,3,1965,1,0,0,1846,Lightning
3,Lightning,3,1965,1,0,0,1836,Lightning
6,Lightning,3,1965,1,0,0,1832,Lightning
3,Hail/ Lightning/ Wind,3,1965,1,0,0,1824,Hail/Storms
2,Hail/ Lightning/ Wind,3,1965,1,0,0,1793,Hail/Storms
6,Hail/ Lightning/ Wind,3,1965,1,0,0,1788,Hail/Storms
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1772,Hail/Storms
4,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1768,Hail/Storms
4,Hail/ Lightning/ Wind,3,1965,1,0,0,1731,Hail/Storms
4,Lightning,3,1965,1,0,0,1674,Lightning
1,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1659,Hail/Storms
5,Hail/ Lightning/ Wind,3,1965,1,0,0,1652,Hail/Storms
5,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1650,Hail/Storms
5,Lightning,3,1965,1,0,0,1637,Lightning
2,Lightning,3,1965,1,0,0,1571,Lightning
6,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1567,Hail/Storms
1,Hail/ Lightning/ Wind,3,1965,1,0,0,1547,Hail/Storms
6,Hail,4,1965,1,0,0,842,Hail
1,Lightning,3,1965,1,0,12,838,Lightning
1,Hail,4,1965,1,0,0,725,Hail
3,Landslide,1,1965,1,83,0,0,Landslide
6,Severe Storm/Thunder Storm,2,1965,1,13,13,0,Storms
2,Lightning,3,1965,1,11,0,0,Lightning
4,Lightning,3,1965,1,25,0,0,Lightning
6,Hail,2,1965,1,0,0,0,Hail
4,Lightning,2,1965,1,0,24,0,Lightning
3,Lightning,2,1965,1,0,34,0,Lightning
6,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
1,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
2,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
4,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
3,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
5,Severe Storm/Thunder Storm,2,1965,9,0,0,0,Storms
3,Lightning,3,1965,1,0,97,0,Lightning
4,Winter Weather,1,1966,2,2,0,245677,Winter Weather
5,Winter Weather,1,1966,2,2,0,220813,Winter Weather
1,Winter Weather,1,1966,2,2,0,220405,Winter Weather
3,Winter Weather,1,1966,2,3,0,209853,Winter Weather
4,Wildfire,1,1966,17,0,0,184408,Wildfire
1,Wildfire,1,1966,17,0,0,180497,Wildfire
6,Wildfire,1,1966,17,0,0,179963,Wildfire
5,Wildfire,1,1966,17,0,0,178774,Wildfire
3,Wildfire,1,1966,17,0,0,171537,Wildfire
2,Wildfire,1,1966,17,0,0,166248,Wildfire
3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1966,1,0,12,84792,Hail/Storms
4,Severe Storm/Thunder Storm/ Wind,2,1966,1,0,0,81154,Storms
1,Hail/ Lightning/ Severe Storm/Thunder Storm,2,1966,1,6,0,42045,Hail/Storms
6,Winter Weather,1,1966,1,0,0,37804,Winter Weather
4,Winter Weather,1,1966,1,0,0,36505,Winter Weather
3,Lightning/ Wind,3,1966,1,0,0,36458,Wind
3,Winter Weather,1,1966,1,0,0,35168,Winter Weather
5,Winter Weather,1,1966,1,0,0,33142,Winter Weather
4,Flooding,1,1966,5,0,0,18587,Flooding
2,Flooding,1,1966,5,0,0,17795,Flooding
5,Flooding,1,1966,5,0,0,16992,Flooding
6,Flooding,1,1966,5,0,0,16314,Flooding
1,Flooding,1,1966,5,0,0,16107,Flooding
3,Flooding,1,1966,5,0,0,15859,Flooding
1,Lightning/ Severe Storm/Thunder Storm,3,1966,1,0,0,7958,Lightning/Storms
3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1966,1,0,0,7295,Hail/Storms
4,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1877,Storms
6,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1864,Storms
3,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1780,Storms
1,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1748,Storms
2,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1602,Storms
5,Severe Storm/Thunder Storm/ Wind,1,1966,1,0,0,1570,Storms
1,Hail/ Lightning/ Severe Storm/Thunder Storm,3,1966,1,0,0,801,Hail/Storms
6,Winter Weather,1,1966,2,1,0,0,Winter Weather
1,Winter Weather,1,1966,2,2,0,0,Winter Weather
2,Winter Weather,1,1966,2,3,0,0,Winter Weather
4,Winter Weather,1,1966,2,1,0,0,Winter Weather
3,Winter Weather,1,1966,2,2,0,0,Winter Weather
5,Winter Weather,1,1966,2,1,0,0,Winter Weather
2,Hail/ Severe Storm/Thunder Storm,3,1966,1,0,0,0,Hail/Storms
3,Tornado,4,1967,1,0,0,744330,Storms
3,Severe Storm/Thunder Storm,3,1967,6,0,0,178688,Storms
4,Severe Storm/Thunder Storm,3,1967,6,0,0,173450,Storms
1,Severe Storm/Thunder Storm,3,1967,6,0,0,173123,Storms
5,Severe Storm/Thunder Storm,3,1967,6,0,0,173088,Storms
6,Severe Storm/Thunder Storm,3,1967,6,0,0,171503,Storms
2,Severe Storm/Thunder Storm,3,1967,6,0,0,160269,Storms
1,Tornado,2,1967,1,0,0,86314,Storms
2,Tornado/ Wind,4,1967,1,0,12,84831,Storms
2,Tornado,4,1967,1,0,12,83761,Storms
1,Tornado,3,1967,1,0,0,83555,Storms
2,Hurricane/Tropical Storm,2,1967,1,0,0,81059,Storms
3,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1967,1,0,0,80559,Hail/Storms
3,Hail/ Wind,1,1967,1,0,0,77278,Hail/Storms
5,Tornado/ Wind,2,1967,1,0,0,73902,Storms
4,Lightning/ Severe Storm/Thunder Storm/ Wind,4,1967,1,0,0,19407,Lightning/Storms
3,Hail/ Tornado/ Wind,2,1967,1,0,38,8380,Hail/Storms
5,Wind,2,1967,1,11,0,7534,Wind
1,Winter Weather,1,1967,3,0,0,0,Winter Weather
3,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,739099,Storms
6,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,268708,Storms
3,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,254862,Storms
1,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,248621,Storms
5,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,241537,Storms
2,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,240051,Storms
2,Tornado,4,1968,1,0,0,78205,Storms
1,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,76192,Storms
1,Wind,3,1968,1,0,0,38859,Wind
1,Wind,1,1968,1,0,0,26649,Wind
1,Hurricane/Tropical Storm,2,1968,2,0,0,1873,Storms
6,Hurricane/Tropical Storm,2,1968,2,0,0,1705,Storms
2,Hurricane/Tropical Storm,2,1968,2,0,0,1652,Storms
4,Hurricane/Tropical Storm,2,1968,2,0,0,1620,Storms
3,Hurricane/Tropical Storm,2,1968,2,0,0,1580,Storms
5,Hurricane/Tropical Storm,2,1968,2,0,0,1559,Storms
2,Tornado,1,1968,1,0,0,854,Storms
1,Severe Storm/Thunder Storm,2,1968,1,0,12,823,Storms
2,Tornado,3,1968,1,0,0,748,Storms
6,Hail,2,1968,1,0,0,0,Hail
1,Hail,2,1968,1,0,0,0,Hail
1,Severe Storm/Thunder Storm,3,1969,1,0,0,776272,Storms
2,Winter Weather,1,1969,3,0,0,179732,Winter Weather
6,Winter Weather,1,1969,3,0,0,160592,Winter Weather
3,Winter Weather,1,1969,3,0,0,160474,Winter Weather
5,Winter Weather,1,1969,3,0,0,158871,Winter Weather
4,Winter Weather,1,1969,3,11,0,155482,Winter Weather
1,Winter Weather,1,1969,3,0,0,154200,Winter Weather
1,Severe Storm/Thunder Storm/ Wind,2,1969,1,0,0,43376,Storms
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1969,1,0,0,36394,Hail/Storms
5,Wind/ Winter Weather,4,1969,1,2,2,33736,Winter Weather
3,Wind/ Winter Weather,4,1969,1,1,1,30790,Winter Weather
4,Wind/ Winter Weather,4,1969,1,2,2,29617,Winter Weather
6,Wind,2,1969,1,0,0,763,Wind
3,Wind,2,1969,1,0,0,423,Wind
1,Winter Weather,4,1969,1,0,0,164,Winter Weather
1,Lightning/ Severe Storm/Thunder Storm,2,1969,1,13,0,0,Lightning/Storms
2,Coastal/ Hurricane/Tropical Storm/ Wind,4,1970,1,0,0,1127301,Coastal
1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,788082,Storms
2,Wind,2,1970,1,0,22,754634,Wind
5,Wind,2,1970,1,0,2,163687,Wind
1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,84150,Storms
4,Lightning,3,1970,1,0,0,81764,Lightning
4,Hail/ Severe Storm/Thunder Storm,2,1970,1,0,0,38875,Hail/Storms
3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1970,1,0,4,28292,Hail/Storms
2,Winter Weather,1,1970,2,0,0,1835,Winter Weather
5,Winter Weather,1,1970,2,0,0,1805,Winter Weather
1,Winter Weather,1,1970,2,23,0,1690,Winter Weather
4,Winter Weather,1,1970,2,11,0,1685,Winter Weather
3,Winter Weather,1,1970,2,0,0,1655,Winter Weather
6,Winter Weather,1,1970,2,0,0,1605,Winter Weather
6,Winter Weather,4,1970,2,0,0,13,Winter Weather
3,Winter Weather,4,1970,2,0,0,12,Winter Weather
1,Winter Weather,4,1970,2,0,0,11,Winter Weather
2,Winter Weather,4,1970,2,0,0,11,Winter Weather
4,Winter Weather,4,1970,2,0,0,11,Winter Weather
5,Winter Weather,4,1970,2,0,0,11,Winter Weather
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1970,2,0,0,0,Hail/Storms
2,Lightning,3,1970,1,0,34,0,Lightning
4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,1348604,Hail/Storms
2,Hurricane/Tropical Storm,3,1971,4,0,0,1058006,Storms
3,Severe Storm/Thunder Storm,3,1971,1,0,0,718412,Storms
1,Winter Weather,1,1971,1,4,8,459526,Winter Weather
4,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,183012,Storms
2,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,181479,Storms
5,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,176293,Storms
3,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,12,173622,Storms
1,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,170400,Storms
6,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,157375,Storms
4,Tornado,1,1971,1,0,0,79323,Storms
3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,63657,Hail/Storms
5,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,33,60750,Hail/Storms
1,Winter Weather,1,1971,2,0,0,5887,Winter Weather
6,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1853,Storms
4,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1804,Storms
2,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1788,Storms
1,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1782,Storms
5,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1684,Storms
3,Severe Storm/Thunder Storm/ Wind,1,1971,1,0,0,1654,Storms
5,Tornado,3,1971,1,0,0,811,Storms
5,Lightning/ Severe Storm/Thunder Storm,3,1971,1,11,0,0,Lightning/Storms
3,Tornado,2,1971,1,0,0,0,Storms
1,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,752811,Lightning/Storms
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,85577,Hail/Storms
4,Lightning/ Severe Storm/Thunder Storm,3,1972,1,0,0,82145,Lightning/Storms
5,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,81724,Lightning/Storms
3,Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,79640,Storms
5,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,79608,Lightning/Storms
4,Tornado,1,1972,1,0,0,75891,Storms
2,Lightning/ Severe Storm/Thunder Storm,3,1972,1,10,10,72079,Lightning/Storms
1,Severe Storm/Thunder Storm/ Wind,2,1972,1,0,0,41141,Storms
1,Wind,1,1972,1,0,0,27175,Wind
3,Wind,1,1972,1,0,11,7649,Wind
1,Flooding/ Severe Storm/Thunder Storm,4,1972,4,0,0,3519,Flooding/Storms
2,Flooding/ Severe Storm/Thunder Storm,4,1972,4,0,0,3247,Flooding/Storms
6,Hurricane/Tropical Storm,2,1972,2,0,0,1777,Storms
1,Hurricane/Tropical Storm,2,1972,2,0,0,1694,Storms
5,Hurricane/Tropical Storm,2,1972,2,0,0,1626,Storms
4,Hurricane/Tropical Storm,2,1972,2,0,0,1598,Storms
2,Hurricane/Tropical Storm,2,1972,2,0,0,1574,Storms
3,Hurricane/Tropical Storm,2,1972,2,0,0,1552,Storms
6,Winter Weather,2,1972,30,0,0,0,Winter Weather
1,Winter Weather,2,1972,30,0,0,0,Winter Weather
2,Winter Weather,2,1972,30,0,0,0,Winter Weather
4,Winter Weather,2,1972,30,0,0,0,Winter Weather
3,Winter Weather,2,1972,30,0,0,0,Winter Weather
5,Winter Weather,2,1972,30,0,0,0,Winter Weather
1,Tornado,2,1973,1,0,165,2378056,Storms
6,Winter Weather,1,1973,2,3,0,1882757,Winter Weather
2,Winter Weather,1,1973,2,2,0,1778513,Winter Weather
4,Winter Weather,1,1973,2,2,0,1769898,Winter Weather
3,Winter Weather,1,1973,2,3,0,1700977,Winter Weather
1,Winter Weather,1,1973,2,2,0,1692878,Winter Weather
5,Winter Weather,1,1973,2,3,0,1655144,Winter Weather
2,Tornado,2,1973,1,0,0,783405,Storms
3,Winter Weather,1,1973,2,0,0,186475,Winter Weather
4,Winter Weather,1,1973,2,0,0,182513,Winter Weather
5,Winter Weather,1,1973,2,0,0,166696,Winter Weather
1,Winter Weather,1,1973,2,0,0,166558,Winter Weather
2,Winter Weather,1,1973,2,0,0,165335,Winter Weather
6,Winter Weather,1,1973,2,0,0,160114,Winter Weather
2,Flooding,1,1973,17,0,0,84134,Flooding
3,Lightning/ Wind,3,1973,1,0,0,80551,Wind
1,Tornado,2,1973,1,0,0,42060,Storms
1,Tornado,1,1973,1,0,0,39394,Storms
4,Tornado,2,1973,1,0,0,36469,Storms
3,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,29408,Flooding/Storms
4,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,27168,Flooding/Storms
5,Flooding/ Severe Storm/Thunder Storm,2,1973,18,0,0,26389,Flooding/Storms
4,Flooding,1,1973,1,0,0,16841,Flooding
5,Flooding,1,1973,1,0,0,16792,Flooding
2,Flooding,1,1973,1,0,0,16173,Flooding
1,Flooding,1,1973,1,0,0,16026,Flooding
6,Flooding,1,1973,1,0,0,15894,Flooding
3,Flooding,1,1973,1,0,0,15541,Flooding
2,Coastal,4,1973,1,0,0,14212,Coastal
5,Winter Weather,4,1973,1,0,0,10243,Winter Weather
3,Winter Weather,4,1973,1,0,0,9512,Winter Weather
5,Severe Storm/Thunder Storm/ Wind,3,1973,1,0,0,7836,Storms
1,Tornado,2,1973,1,0,0,7226,Storms
2,Flooding,1,1973,17,0,0,5226,Flooding
2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,2,5217,Hail/Storms
5,Flooding,1,1973,17,0,0,4767,Flooding
4,Flooding,1,1973,17,0,0,4572,Flooding
3,Flooding,1,1973,17,0,0,4473,Flooding
2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,4072,Hail/Storms
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,3488,Hail/Storms
3,Flooding/ Severe Storm/Thunder Storm,2,1973,7,0,0,2950,Flooding/Storms
5,Flooding/ Severe Storm/Thunder Storm,2,1973,7,0,0,2878,Flooding/Storms
6,Hail/ Lightning/ Wind,2,1973,2,0,1,2693,Hail/Storms
1,Hail/ Lightning/ Wind,2,1973,2,0,1,2659,Hail/Storms
6,Flooding/ Severe Storm/Thunder Storm,2,1973,7,0,0,2538,Flooding/Storms
1,Flooding/ Severe Storm/Thunder Storm,2,1973,7,0,0,2531,Flooding/Storms
5,Wind,4,1973,1,0,0,2518,Wind
2,Wind,4,1973,1,0,0,2512,Wind
3,Wind,4,1973,1,0,0,2496,Wind
1,Wind,4,1973,1,0,0,2318,Wind
6,Wind,4,1973,1,0,0,2201,Wind
1,Flooding,4,1973,1,0,0,1386,Flooding
1,Winter Weather,4,1973,1,0,0,541,Winter Weather
